miRNA	TSI	Most epxressed condition	Expression
hsa-miR-1180-5p	0.995397414747	healthy_Stomach	0.313296570234
hsa-miR-561-3p	0.995353675087	healthy_Stomach	0.31034725316
hsa-miR-149-3p	0.995027642617	disease_Lung	0.28999809602
hsa-miR-381-5p	0.994855191543	disease_Lung	0.28027752363
hsa-miR-512-3p	0.994825065054	disease_Stomach	0.472382341384
hsa-miR-5586-5p	0.99467809425	healthy_Lung	0.270950716083
hsa-miR-6793-5p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-6514-3p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-598-5p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-495-5p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-3140-3p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-1537-3p	0.994545883591	healthy_Stomach	0.264382727798
hsa-miR-5682	0.994248521481	disease_Lung	0.250713650279
hsa-miR-4433b-3p	0.993971249717	healthy_Lung	0.239182932821
hsa-miR-4524a-3p	0.993846366333	healthy_Lung	0.234328894425
hsa-miR-5187-5p	0.99380067086	disease_Lung	0.232601647898
hsa-miR-3144-3p	0.993703678388	disease_Lung	0.229018506791
hsa-miR-642b-5p	0.993620125487	healthy_Stomach	0.22601920634
hsa-miR-1245a	0.993582457759	disease_Stomach	0.224692587873
hsa-miR-510-5p	0.993467250746	healthy_Kidney	0.220730065971
hsa-miR-514a-5p	0.993404040356	healthy_Kidney	1.3370831668
hsa-miR-3939	0.99326677809	disease_Kidney	0.21415812417
hsa-miR-5001-5p	0.992396255417	disease_Lung	0.189640006744
hsa-miR-105-3p	0.992319064611	disease_Lung	0.187734188723
hsa-miR-122-3p	0.991894799403	disease_Kidney	0.177907277766
hsa-miR-3189-3p	0.991693890975	disease_Lung	0.173604050893
hsa-miR-96-3p	0.991145756915	disease_Lung	0.162856854064
hsa-miR-186-3p	0.990684666633	disease_Lung	0.471100766011
hsa-miR-6855-5p	0.989120478296	disease_Stomach	0.224692587873
hsa-miR-597-3p	0.989120478296	disease_Stomach	0.224692587873
hsa-miR-3622a-5p	0.989120478296	disease_Stomach	0.224692587873
hsa-miR-3619-3p	0.989074652542	disease_Lung	0.131984285115
hsa-miR-523-5p	0.988413157874	healthy_Lung	0.12444928119
hsa-miR-522-5p	0.988413157874	healthy_Lung	0.12444928119
hsa-miR-519c-5p	0.988413157874	healthy_Lung	0.12444928119
hsa-miR-519b-5p	0.988413157874	healthy_Lung	0.12444928119
hsa-miR-518e-5p	0.988413157874	healthy_Lung	0.12444928119
hsa-miR-552-5p	0.988378967305	disease_Stomach	2.71115649338
hsa-miR-885-3p	0.98774187401	disease_Kidney	0.117634145309
hsa-miR-3064-5p	0.987535752405	healthy_Kidney	0.115688826218
hsa-miR-548x-5p	0.987522636422	disease_Lung	0.115567216176
hsa-miR-4786-3p	0.987437006217	disease_Lung	0.114779502311
hsa-miR-3130-3p	0.986399358673	disease_Lung	0.106022513147
hsa-miR-92a-2-5p	0.986165512084	healthy_Kidney	0.104230397441
hsa-miR-216a-3p	0.986165512084	healthy_Kidney	0.104230397441
hsa-miR-4778-3p	0.986044241155	disease_Lung	0.10332466976
hsa-miR-329-5p	0.985539680119	healthy_Kidney	0.0997193828181
hsa-miR-147b-5p	0.985264521374	disease_Lung	0.521555199726
hsa-miR-3194-3p	0.984152015256	disease_Lung	0.0909878572721
hsa-miR-4670-3p	0.983453031909	healthy_Kidney	0.0871443134447
hsa-miR-510-3p	0.983236896312	healthy_Kidney	0.0860207155412
hsa-miR-552-3p	0.982344846352	disease_Stomach	3.58099573816
hsa-miR-4676-5p	0.981884942726	disease_Lung	0.0796008619831
hsa-miR-18b-3p	0.980672324836	disease_Lung	0.0746067057548
