miRNA	TSI	Most epxressed condition	Expression
hsa-miR-519a-5p	0.99400659444	disease_Lung	0.24059345883
hsa-miR-450a-2-3p	0.993840703146	disease_Kidney	0.234113439896
hsa-miR-5187-5p	0.99380067086	disease_Lung	0.232601647898
hsa-miR-3144-3p	0.993703678388	disease_Lung	0.229018506791
hsa-miR-3622a-3p	0.993582457759	disease_Stomach	0.224692587873
hsa-miR-197-5p	0.993582457759	disease_Stomach	0.224692587873
hsa-miR-1245a	0.993582457759	disease_Stomach	0.224692587873
hsa-miR-873-3p	0.993353739768	disease_Lung	0.216960233815
hsa-miR-6735-5p	0.993326071066	disease_Kidney	0.21606076244
hsa-miR-3939	0.99326677809	disease_Kidney	0.21415812417
hsa-miR-5001-5p	0.992396255417	disease_Lung	0.189640006744
hsa-miR-105-3p	0.992319064611	disease_Lung	0.187734188723
hsa-miR-122-3p	0.991894799403	disease_Kidney	0.177907277766
hsa-miR-3189-3p	0.991693890975	disease_Lung	0.173604050893
hsa-miR-512-3p	0.991641498614	disease_Stomach	0.472382341384
hsa-miR-3620-3p	0.99152469604	disease_Lung	0.170138343206
hsa-miR-3614-3p	0.991239653804	disease_Lung	0.164602418852
hsa-miR-96-3p	0.991145756915	disease_Lung	0.162856854064
hsa-miR-514b-5p	0.991081445249	disease_Lung	0.161682493874
hsa-miR-1298-5p	0.990284730756	disease_Kidney	0.148423490667
hsa-miR-876-3p	0.990182310285	disease_Lung	0.146875101556
hsa-miR-146a-3p	0.989981886746	disease_Lung	0.394126953358
hsa-miR-3619-3p	0.989074652542	disease_Lung	0.131984285115
hsa-miR-585-5p	0.988893877003	disease_Kidney	0.12983596295
hsa-miR-885-3p	0.98774187401	disease_Kidney	0.117634145309
hsa-miR-106a-3p	0.987574748136	disease_Lung	0.116051907009
hsa-miR-548x-5p	0.987522636422	disease_Lung	0.115567216176
hsa-miR-4786-3p	0.987437006217	disease_Lung	0.114779502311
hsa-miR-888-5p	0.987077852255	disease_Lung	0.11158935824
hsa-miR-19b-1-5p	0.986828114939	disease_Lung	2.68734466378
hsa-miR-3130-3p	0.986399358673	disease_Lung	0.106022513147
hsa-miR-4778-3p	0.986044241155	disease_Lung	0.10332466976
hsa-miR-519a-3p	0.984901368423	disease_Lung	0.0955036333274
hsa-miR-380-5p	0.984758851479	disease_Lung	0.0946105978756
hsa-miR-3194-3p	0.984152015256	disease_Lung	0.0909878572721
hsa-miR-182-3p	0.984069957808	disease_Lung	0.247859259122
hsa-miR-4796-3p	0.984057742296	disease_Kidney	0.0904498096019
hsa-miR-6734-5p	0.983877607932	disease_Kidney	0.0894392201732
hsa-miR-6855-5p	0.982427509101	disease_Stomach	0.224692587873
hsa-miR-597-3p	0.982427509101	disease_Stomach	0.224692587873
hsa-miR-3622a-5p	0.982427509101	disease_Stomach	0.224692587873
hsa-miR-4676-5p	0.981884942726	disease_Lung	0.0796008619831
hsa-miR-186-3p	0.981302958757	disease_Lung	0.471100766011
hsa-miR-18b-3p	0.980672324836	disease_Lung	0.0746067057548
