SampleID	ERR2619766	ERR2619772	ERR2619776	ERR2619778	ERR2619780	ERR2619781	ERR2619782	ERR2619783	ERR2619785	ERR2635202	SRR2487415	SRR2487416	SRR2487417	SRR2487418	SRR2487419	SRR2487420	SRR2487421	SRR2487422	SRR2487423	SRR2487424	SRR2487425	SRR2487426	SRR2487427	SRR2487428	SRR2487429	SRR2487430	SRR2487434	SRR2487435	SRR2487436	SRR3703111	SRR3703112	SRR3703113	SRR3703114	SRR3703115	SRR3703116	SRR3703117	SRR3703118	SRR3703147	SRR3703148	SRR3703149	SRR3703150	SRR3703151	SRR3703152	SRR3703153	SRR3703154	SRR3703155
hsa-let-7e-5p	28.7	125.33	260.88	1066.82	114.48	132.83	277.13	210.85	160.77	1018.35	8008.3	7213.03	7863.68	3666.18	3378.25	3454.45	0.0	7573.4	6975.25	7402.55	0.0	6718.77	6350.6	6475.0	0.0	12176.32	3539.43	3196.15	3384.0	23275.45	36121.77	14499.72	8271.08	18037.17	11645.72	31230.88	6.95	1474.35	8.5	40658.37	12.45	4653.83	3008.72	1.0	5320.82	8486.35
hsa-let-7f-1-3p	5.0	3.0	7.0	7.0	4.0	2.0	1.0	1.0	8.0	17.0	66.0	42.0	51.0	28.0	17.0	24.0	0.0	15.0	23.0	33.0	0.0	30.0	22.0	25.0	0.0	57.0	74.0	59.0	55.0	204.0	298.0	90.33	138.0	228.5	292.0	308.0	0.0	94.0	1.0	127.0	0.0	58.0	41.0	0.0	40.0	48.0
hsa-let-7f-2-3p	5.0	5.0	7.0	10.0	4.0	6.0	4.0	3.0	7.0	11.0	86.0	88.0	97.0	29.0	37.0	33.0	0.0	44.0	32.0	39.33	0.0	61.0	59.0	60.0	0.0	98.0	70.0	71.0	82.0	102.33	295.0	84.0	112.0	50.0	234.0	218.0	0.0	72.33	0.0	66.33	0.0	25.0	22.0	0.0	35.0	26.0
hsa-let-7f-5p	1541.1	4398.46	6885.26	7732.44	4244.44	6681.44	8958.6	5499.54	6202.9	12086.43	115837.26	104879.68	114920.96	69122.86	62703.26	68537.48	8.0	83825.2	76616.34	83640.15	0.0	86902.44	79072.16	86336.86	17.0	135979.32	142010.76	128415.96	141914.9	177431.1	520048.79	127451.6	76911.97	87875.9	96863.06	320597.59	47.66	30400.76	18.0	41190.02	68.0	16847.52	17293.1	6.0	26653.99	22146.36
hsa-let-7g-3p	3	1	8	4	10	8	4	5	8	6	17	18	22	6	3	7	0	17	9	12	0	12	10	13	0	25	38	30	29	358	946	273	426	880	796	839	0	442	0	684	0	374	286	0	450	681
hsa-let-7g-5p	442.5	1670.58	2122.58	2082.08	1666.33	2623.58	2541.08	2230.67	2965.75	3113.18	20616.29	18577.12	20733.38	4558.87	4228.42	4374.31	1.0	10814.17	10060.7	11018.0	0.0	9415.42	8563.17	9253.17	1.0	17917.99	17612.82	15936.45	17186.66	10959.55	32750.15	8967.53	11635.93	11297.55	10284.14	20845.57	4.58	7297.03	9.0	14316.19	11.0	4409.43	4718.37	1.0	4813.58	7363.92
hsa-let-7i-3p	7	8	27	14	19	12	24	18	23	75	28	17	23	29	19	37	0	18	21	19	0	65	62	70	0	65	74	50	67	1437	6863	868	2397	1745	3595	2752	1	1116	2	1267	3	1907	1123	0	4427	1289
hsa-let-7i-5p	420.0	3006.0	3871.0	1872.5	670.0	1082.0	1159.0	728.5	977.5	7501.0	8246.0	7659.0	8172.0	9160.5	8582.5	9214.5	0.0	9852.5	9251.5	10056.5	0.0	23762.5	22247.5	24217.5	1.0	25579.5	25346.5	23699.5	25385.5	18632.0	51884.0	10315.0	10683.0	14681.0	12315.5	20242.0	5.0	4999.0	9.0	6891.5	15.0	9157.5	7199.0	1.0	10874.5	5521.5
hsa-miR-1-3p	2.0	5.0	5.0	204.0	0.0	2.0	4.0	10.0	14.0	47.0	58.0	45.0	33.0	4.0	2.0	2.0	0.0	8.0	5.0	6.0	0.0	4.0	3.0	4.0	0.0	15.0	3.0	1.0	3.0	528.0	1580.0	803.0	387.66	652.0	231.0	1059.0	1.0	16.0	0.0	19.0	0.0	14.0	5.0	0.0	27.0	18.0
hsa-miR-1-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-3p	0	7	4	5	0	1	1	0	1	10	42	27	17	12	5	12	0	7	11	9	0	10	19	12	0	26	17	19	18	26	52	7	12	16	36	27	0	0	0	2	0	2	0	0	1	1
hsa-miR-100-5p	653.0	1484.5	6579.5	8662.5	426.5	616.0	265.0	258.0	1462.0	11696.5	4396.0	3679.0	4254.0	2088.0	1927.0	2203.0	2.0	2194.0	1894.5	2173.0	0.0	3428.5	3075.0	3505.5	2.5	3536.0	4534.0	3646.5	4577.5	456122.5	949374.5	258912.5	187319.5	363035.5	191053.0	340405.0	45.0	4557.0	69.0	17896.5	73.0	58303.0	13132.5	6.0	41899.0	29703.0
hsa-miR-101-2-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	2	4	1	5	2	4	4	0	3	0	4	0	4	2	0	1	5
hsa-miR-101-3p	552	987	2349	1601	1057	1621	1962	905	1076	2714	13289	11861	13246	10750	9771	10662	1	5661	4849	5573	0	8492	7610	8525	2	12113	23204	21043	23514	698167	3681153	473353	429439	686499	399398	1132929	111	44692	45	39580	120	46576	24320	13	55168	45662
hsa-miR-101-5p	0	3	6	1	3	1	2	5	4	7	54	39	34	56	64	60	0	20	22	18	0	36	28	36	0	53	105	110	84	195	741	260	827	395	144	301	0	217	0	147	0	63	135	0	77	58
hsa-miR-103a-1-5p	0.0	0.0	0.0	0.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	1.0	0.0	0.0	0.0	0.0	0.0	10.0	68.0	23.5	173.5	101.0	28.0	15.0	0.0	133.0	0.0	349.5	0.0	74.0	104.5	0.0	88.0	151.5
hsa-miR-103a-2-5p	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	2.0	1.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.5	3.0	0.0	3.0	0.0	4.0	2.0	18.0	40.0	13.5	21.5	12.0	34.0	38.0	0.0	62.0	0.0	81.0	0.0	16.0	40.5	0.0	24.5	21.5
hsa-miR-103a-3p	258.34	683.0	2070.0	1517.66	652.66	1132.34	1055.66	462.0	1102.66	2298.66	5277.34	4714.0	5266.34	2901.66	2505.34	2866.0	1.0	3722.66	3378.0	3752.34	0.0	5838.34	5164.34	5756.0	1.66	6330.66	6113.0	5538.0	6162.34	605772.5	2204233.66	342354.5	217593.34	373824.34	417150.0	698891.66	92.34	257420.34	143.34	154287.0	504.66	117420.34	192327.66	22.0	128975.34	215670.66
hsa-miR-105-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	18
hsa-miR-105-5p	1	0	0	1	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	2	3	6	31	1	0	2001	1	14	4	2	2934	0	134	10450
hsa-miR-106a-3p	0	0	0	0	0	0	0	0	0	0	2	2	5	1	0	0	0	1	0	1	0	1	0	2	0	1	0	0	0	2	33	2	2	3	4	0	0	6	0	12	0	1	5	0	2	0
hsa-miR-106a-5p	0.0	0.5	1.33	2.5	1.0	1.0	1.0	3.5	1.33	0.5	114.5	104.0	103.0	18.0	9.5	14.5	0.0	17.0	22.0	37.5	0.0	24.0	18.0	32.5	0.0	59.0	32.0	20.5	30.0	171.33	3349.25	201.67	137.75	116.83	103.0	198.25	0.0	171.67	0.0	688.42	0.0	39.17	185.5	0.0	65.17	82.0
hsa-miR-106b-3p	32	67	195	166	35	69	75	29	41	120	152	145	163	257	226	255	0	118	130	156	0	606	548	594	0	226	531	453	445	6203	53350	3710	3801	7004	5889	7294	1	18089	3	4043	11	1979	7221	1	3025	5249
hsa-miR-106b-5p	67.0	42.0	357.0	85.0	46.0	80.0	19.0	57.0	101.0	107.0	159.0	135.0	166.0	189.0	131.0	179.0	0.0	99.0	109.0	122.0	0.0	438.5	408.0	421.5	2.0	277.0	384.0	323.0	385.0	3601.33	52272.25	2898.0	3374.25	2258.5	3472.0	5900.75	2.0	18234.33	6.0	5728.58	4.0	1100.0	4190.5	1.0	3106.0	3987.5
hsa-miR-107	21.67	43.0	169.0	129.33	53.33	77.67	94.33	45.0	68.33	130.33	1178.67	1014.0	1105.67	381.33	311.67	388.0	0.0	707.33	615.0	653.67	0.0	619.67	557.67	619.0	0.33	588.33	831.0	770.0	847.67	2454.5	12808.67	1635.5	1193.67	1782.67	1668.0	2561.33	0.67	1090.67	0.67	883.0	3.33	654.67	909.33	0.0	621.67	1151.83
hsa-miR-10a-3p	11	9	22	38	1	5	5	5	5	13	172	171	182	52	53	70	0	106	71	121	0	89	70	81	0	211	162	130	145	54	103	51	56	35	39	73	0	10	0	614	0	20	28	0	27	8
hsa-miR-10a-5p	36369.0	14253.5	61200.0	164883.0	14162.0	15617.0	16324.5	8500.0	18129.5	59375.5	281089.0	257811.0	280212.0	78973.0	72574.5	79253.0	8.0	119900.0	110132.0	119488.5	0.0	95768.5	87184.5	95262.0	36.0	282096.0	231908.0	212179.0	230791.0	887005.5	1737249.5	535050.5	418026.5	767507.5	444789.0	722345.0	169.0	33933.0	231.5	2331130.0	322.5	142132.5	127304.0	13.0	115948.5	99444.0
hsa-miR-1180-3p	0	2	15	4	1	1	2	2	4	8	168	174	161	30	45	34	0	133	104	139	0	188	158	174	0	129	110	99	127	166	938	430	163	324	116	292	0	718	0	368	0	55	335	0	91	119
hsa-miR-1180-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	2	0	1	0
hsa-miR-1185-1-3p	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.5	3.0	2.0	2.0	0.0	1.0	0.0	14.0	9.0	4.0	0.0	9.0	1.0	8.5	0.0	9.0	1.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.5	0.0	1.0	0.0	0.0	1.0	1.0
hsa-miR-1185-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1185-5p	0	0	0	7	0	1	1	1	0	11	4	1	5	1	2	0	0	4	2	1	0	3	0	3	0	6	0	0	0	5	0	0	0	1	2	1	0	0	0	1	0	0	0	0	2	2
hsa-miR-122-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	1	0	2	0	0	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122-5p	0	0	0	1	1	0	0	1	0	0	2	0	1	159	178	162	0	0	1	0	0	155	153	162	0	1	286	277	317	3	2	0	0	2	0	0	0	0	0	1	0	0	4	0	0	4
hsa-miR-122b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122b-5p	0	0	0	1	0	0	0	0	0	0	1	3	1	13	8	8	0	1	4	0	0	2	0	2	0	5	10	9	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-124-3p	0.99	0.99	0.99	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.99	2.01	3.99	0.0	0.0	0.0	0.0	3.0	0.99	2.01	0.0	0.99	3.0	2.01	0.0	0.99	0.0	0.0	0.99	0.0	0.0	0.0	2.01	0.0	3.99	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0
hsa-miR-124-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1245a	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0
hsa-miR-1247-3p	0	1	1	3	1	0	1	0	2	1	4	3	2	0	1	1	0	2	2	4	0	3	3	4	0	4	0	0	1	1129	4284	446	721	608	643	1340	0	6	0	36	0	22	11	0	131	22
hsa-miR-1247-5p	0	7	26	6	1	2	0	1	7	3	23	39	28	34	27	29	0	11	13	15	0	21	21	21	0	18	1	0	1	548	1141	312	394	340	180	611	0	13	1	16	0	21	18	0	149	24
hsa-miR-1249-3p	0	2	0	2	0	1	0	0	1	0	5	7	5	0	0	1	0	2	3	2	0	3	2	5	0	1	1	2	5	27	28	14	34	32	20	41	0	36	0	14	0	23	3	0	58	33
hsa-miR-1249-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-1252-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	2
hsa-miR-1252-5p	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-125a-3p	0	2	3	3	0	2	4	0	1	6	59	66	64	32	34	21	0	49	48	51	0	46	73	57	0	88	43	36	47	132	176	178	277	107	86	175	0	18	0	582	0	43	78	0	117	86
hsa-miR-125a-5p	242	905	2297	5799	1268	1829	1181	1641	3889	5374	25878	20674	25890	11161	9046	11409	2	14097	11533	14147	0	15972	12781	16278	4	23936	24234	19028	24551	17023	26763	11845	18730	29623	10203	17018	7	1245	7	21118	7	5726	2827	2	4112	7646
hsa-miR-125b-1-3p	0	16	33	54	0	2	0	0	4	71	199	184	221	74	50	68	0	190	172	189	0	265	235	274	0	611	155	125	167	23	31	10	30	15	11	21	0	8	0	16	0	12	11	0	41	7
hsa-miR-125b-2-3p	7	35	85	376	13	12	27	14	16	343	1762	1640	1770	384	338	390	0	600	537	578	0	1432	1276	1417	0	1814	631	608	625	732	1117	350	184	294	267	603	0	85	0	29	0	27	20	0	349	28
hsa-miR-125b-5p	151.0	894.0	2002.0	4199.0	136.0	249.0	126.0	153.0	493.0	4370.0	9756.66	8380.0	10132.0	2468.0	2156.0	2524.0	1.0	4108.0	3504.0	4131.0	0.0	5249.0	4649.0	5540.0	1.0	12315.0	4093.0	3390.0	3922.0	17684.0	33024.34	10743.0	17815.0	15630.0	7678.0	12845.0	6.0	2027.0	11.0	3074.0	7.0	4985.66	2109.0	1.0	9624.0	4055.0
hsa-miR-126-3p	438	536	891	828	402	452	720	698	783	2622	9656	8251	9654	11805	10098	11706	0	6047	5172	6015	0	8123	6991	7985	4	13084	30733	26025	30481	75157	190402	79929	351880	577584	118554	167642	56	30195	41	42256	51	33924	12410	1	26279	36647
hsa-miR-126-5p	1203	1846	3018	3566	1444	1927	1920	1690	2842	4645	30846	27578	30735	39442	34840	38917	4	17440	15503	17233	0	28537	25224	28209	8	43571	116673	102444	115147	9118	17686	6971	19045	13690	6686	15304	3	1008	2	1006	5	889	206	0	860	1074
hsa-miR-127-3p	95	503	1073	2358	248	427	332	226	666	3786	1965	941	1678	628	279	490	0	2112	1038	1828	0	1780	860	1474	1	4990	314	148	277	17716	13198	4706	3234	3737	7113	5563	1	598	12	1584	5	2794	1519	0	11040	2649
hsa-miR-127-5p	1	2	10	6	3	1	4	2	2	29	12	17	20	4	4	2	0	18	17	20	0	15	7	16	0	24	1	3	3	1173	963	360	463	816	610	357	0	251	3	480	1	1217	529	0	1973	910
hsa-miR-1271-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	1	1	5	1	3	2	0	47	0	11	0	1	1	0	0	4
hsa-miR-1271-5p	0	6	7	29	0	3	0	1	8	18	27	19	23	15	15	20	0	7	11	12	0	29	31	35	0	3	40	24	32	46	62	24	53	61	50	65	0	187	0	64	0	37	15	0	41	54
hsa-miR-1276	0	1	1	0	0	0	0	0	0	0	2	2	2	0	0	0	0	1	1	1	0	1	1	0	0	0	2	0	2	0	4	0	0	0	1	3	0	3	0	1	0	0	2	0	0	5
hsa-miR-1277-3p	0	0	1	0	0	0	1	0	0	1	0	2	1	1	1	1	0	0	2	2	0	2	1	3	0	2	0	2	0	11	39	12	33	43	28	45	0	60	0	32	0	17	19	0	10	35
hsa-miR-1277-5p	5	2	5	3	1	1	4	5	3	4	20	19	17	16	9	17	0	8	6	10	0	31	32	35	0	24	21	34	28	18	41	16	3	15	25	39	0	18	0	9	0	1	3	0	2	15
hsa-miR-128-1-5p	0	1	1	4	0	1	0	0	0	2	17	16	11	5	4	4	0	8	10	8	0	14	12	13	0	15	11	12	12	81	227	49	58	101	161	120	0	82	0	68	0	13	78	0	51	48
hsa-miR-128-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-128-3p	21	26	66	56	24	49	31	40	67	69	2209	1993	2168	404	354	393	0	665	591	685	0	2866	2717	3067	0	949	994	900	1021	1827	5491	989	1017	1463	1091	2107	0	1912	0	1985	3	595	1411	0	1185	1294
hsa-miR-1287-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	24	9	29	105	5	7	0	63	0	45	0	49	10	0	12	95
hsa-miR-1287-5p	0	1	3	2	0	0	2	0	0	8	9	3	12	7	6	3	0	7	2	3	0	31	17	26	0	15	8	11	5	432	1385	332	304	548	274	472	1	290	0	377	0	116	103	0	120	389
hsa-miR-129-1-3p	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	4.0	2.0	3.0	0.0	0.0	0.0	0.0	3.0	6.0	3.5	0.0	0.0	0.0	0.0	0.0	12.5	0.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	4.0	0.0
hsa-miR-129-2-3p	0.0	0.0	0.0	1.0	0.0	3.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.5	0.0	0.0	0.0	2.0	0.0	1.5	0.0	0.0	0.0	0.0	7.0	4.0	0.0	8.0	1.0	3.0	0.0	0.0	0.0	21.0	0.0	0.0	1.0	0.0	0.0	0.0
hsa-miR-129-5p	0	0	0	1	0	5	3	1	3	2	16	9	17	1	2	2	0	14	5	16	0	1	0	0	0	19	0	0	1	37	119	33	17	34	13	30	0	32	0	131	0	36	7	1	31	5
hsa-miR-1296-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	1	0	3	1	0	0	0	0	1	0	0	0	0	1	2
hsa-miR-1296-5p	4	3	21	16	0	4	6	1	8	10	77	73	81	25	27	34	0	41	28	34	0	46	58	50	0	47	39	31	55	63	145	120	157	97	58	86	0	192	0	597	0	47	117	0	249	188
hsa-miR-1298-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0
hsa-miR-1298-5p	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	1	2	0	2	7	0	2	2	13	0	0	0	0	0	0	0	0	0	0
hsa-miR-1301-3p	2	3	8	9	0	1	1	4	3	5	29	25	33	14	14	15	0	31	27	31	0	82	72	71	0	45	27	28	32	118	198	68	101	158	205	229	0	230	0	627	2	110	684	0	74	348
hsa-miR-1301-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1304-3p	0.0	1.0	8.0	8.0	2.0	1.0	5.0	2.0	7.0	9.0	9.0	9.0	6.0	7.0	8.0	13.0	0.0	12.0	7.0	10.0	0.0	14.0	21.0	27.0	0.0	16.0	17.0	20.0	11.0	194.0	839.5	108.0	102.0	145.0	197.0	176.0	0.0	498.0	0.0	213.0	2.0	89.0	188.0	1.0	202.0	320.0
hsa-miR-1304-5p	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
hsa-miR-1306-3p	0	0	0	0	0	1	0	0	0	1	5	2	3	2	2	1	0	2	1	1	0	3	3	4	0	0	0	0	1	21	148	11	12	25	12	21	0	85	0	51	0	5	37	0	17	17
hsa-miR-1306-5p	0	0	0	0	0	1	1	1	0	2	8	2	4	0	3	1	0	1	1	3	0	5	5	5	0	5	6	1	3	65	232	63	75	133	66	124	0	619	0	551	0	41	200	0	60	144
hsa-miR-1307-3p	15	15	90	53	32	24	47	24	34	61	401	358	364	116	114	104	0	336	306	330	0	537	472	530	0	427	211	163	189	10909	18143	7067	6654	11539	15852	14113	1	15133	3	27411	25	7862	14058	3	13730	17082
hsa-miR-1307-5p	43	54	104	66	79	94	111	110	171	261	1469	1304	1489	561	526	609	0	364	342	330	0	3732	3368	3726	2	1619	2257	1786	2171	2322	6443	2083	1685	3109	2913	4230	0	4498	3	3629	4	2814	2859	0	3349	4277
hsa-miR-130a-3p	47.0	145.0	242.0	331.0	77.0	120.5	106.0	96.0	135.0	503.0	3470.0	3128.0	3569.0	1516.0	1438.0	1564.0	0.0	1924.5	1680.0	1827.0	0.0	3382.5	2998.5	3499.5	0.0	4434.0	9886.5	8772.5	9927.0	1118.0	3489.0	1232.0	2796.0	1979.5	996.0	1672.0	0.0	1574.5	2.0	6140.0	1.0	791.0	202.0	0.0	800.0	1130.0
